※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。
商品分析
表示期間,2026年08月17日から2026年08月23日
キーワード
端末,すべて
#,ジャンル,カタログID,商品ID,商品名,商品管理番号,商品番号,売上,売上件数,売上個数,アクセス人数,ユニークユーザー数,転換率,客単価,総購入件数,新規購入件数,リピート購入件数,商品リピート件数,商品リピート率,未購入アクセス人数,レビュー投稿数,レビュー総合評価（点）,総レビュー数,滞在時間（秒）,直帰数,離脱数,離脱率,お気に入り登録ユーザ数,お気に入り総ユーザ数,在庫数
1,"レディースファッション > トップス > タンクトップ","",10000273,"日本製＼一部colorお値下げ中／ クール 接触冷感 ハイネック ノースリーブ レディース 綿100％ 夏用 涼しい【肌映え美インナー】 シアー 首元カバー ゴルフ インナー 冷 感 タンクトップ メッシュ タートルネック UVカット 紫外線 日焼け対策 冷房対策 薄手 重ね着 母の日",1000000115,"5102",18900,4,5,190,176,2.11%,4725,4,3,1,1,25.00%,187,0,4.50,96,66,117,25,74.74%,13,1569,232
2,"レディースファッション > トップス > Tシャツ・カットソー","",10000275,"日本製＼一部colorお値下げ中／ 短め ハイネック インナー レディース 7分袖 綿100％ 夏 秋【肌映え美インナー】 首元カバー 二の腕カバー シワ隠し ゴルフ インナー クール冷感 接触冷感 七分袖 涼しい トップス タートルネック UVカット 紫外線対策 冷房対策 薄手 重ね着",1000000117,"5107",6930,1,2,160,141,0.63%,6930,1,1,0,0,0.00%,159,0,4.54,59,93,107,19,78.75%,7,970,520
3,"レディースファッション > トップス > Tシャツ・カットソー","",10000356,"日本製 Ｔシャツ レディース 半袖 綿100% モックネック ハイネック トップス コットン100％ 接触冷感 UVカット 紫外線対策 体型カバー きれいめ オフィス 敏感肌 カットソー ボトルネック 30代 40代 50代 60代 大きいサイズ 春 夏 涼しい 首元カバー 母の日 プレゼント",1000000175,"6802",15920,3,4,120,112,2.50%,5307,3,3,0,0,0.00%,118,0,5.00,6,71,77,17,78.33%,5,186,35
4,"レディースファッション > トップス > Tシャツ・カットソー","",10000114,"日本製＼一部colorお値下げ中／ クール 接触冷感 ハイネック レディース 長袖 綿100％ UV 日焼け対策 夏用 日本製 【肌映え美インナー】 首元カバー シアー 冷房対策 紫外線 ゴルフ インナー 冷 感トップス タートルネック ボトルネック 涼しい 薄手 敏感肌 重ね着 ギフト",100000067,"5101",9900,2,2,116,103,1.72%,4950,2,2,0,0,0.00%,112,0,4.15,103,44,83,15,84.48%,6,2007,259
5,"レディースファッション > ジャンパースカート","",10000334,"きれい見え続く ジャンパースカート レディース  春夏 ポケット付き 体型カバー ゆったり ワンピース 上品 大人 きちんと感 ミセス 20代 30代 40代 50代 ワンピース ジャンスカ イージーケア お手入れラク素材 美シルエット 着回し力 通勤対応 学校行事 参観日 お出かけ対応",1000000158,"5231-6480",0,0,0,102,96,0.00%,0,0,0,0,0,0.00%,102,0,4.78,9,44,96,2,96.08%,3,468,22
6,"レディースファッション > トップス > タンクトップ","",10000366,"日本製 ハイネック ノースリーブ タンクトップ レディース カットソー 綿100％ 接触冷感 ハイネックインナー 夏 タートルネック 春夏 コットン 無地 首元カバー 日焼け対策 紫外線対策 インナー 重ね着 体型カバー Aライン フレア おしゃれ シンプル 20代 30代 40代 50代",1000000178,"826801",0,0,0,95,90,0.00%,0,0,0,0,0,0.00%,95,0,4.60,5,63,48,16,67.37%,6,131,51
7,"レディースファッション > トップス > Tシャツ・カットソー","",10000308,"日本製 tシャツ レディース 半袖 5分袖 五分袖 ハイネック 綿100％ 【 トップスとして使える 】 きれいめ 上品 体型カバー 細見え Aライン カットソー コットン100% 春夏 夏 日焼け防止 UVカット 冷房対策 おしゃれ 無地 大きいサイズ 30代 40代 50代 60代 母の日 ギフト",1000000134,"823902",23880,4,6,88,81,4.55%,5970,4,2,2,1,25.00%,85,0,4.36,28,84,48,12,68.18%,5,478,39
8,"レディースファッション > トップス > タンクトップ","",10000118,"日本製 接触冷感 短め ハイネック ノースリーブ レディース タンクトップ Cando タンク 綿100% コットン ゴルフ インナー レディース 夏 首元カバー 日焼け対策 UVカット 吸汗速乾 涼しい きれいめ 無地 重ね着 春夏 秋 大きいサイズ LL／10代 20代 30代 40代 50代 母の日",100000070,"7302A",0,0,0,87,80,0.00%,0,0,0,0,0,0.00%,87,0,4.45,42,45,50,12,71.26%,2,1067,61
9,"レディースファッション > トップス > Tシャツ・カットソー","",10000205,"日本製＼一部colorお値下げ中／ クール 接触冷感 クルーネック 長袖 綿100％ シアー インナー 長袖 重ね着 インナー 長袖 レディース【肌映え美インナー】 首元すっきり 胸元カバー 涼しい 丸首 ゴルフ スポーツ カットソー UV紫外線対策 冷房対策 薄手 透け感上品 敏感肌",100000099,"5106",7930,2,2,85,76,2.35%,3965,2,1,1,1,50.00%,83,0,4.08,37,100,65,5,82.35%,1,1009,283
10,"レディースファッション > トップス > Tシャツ・カットソー","",10000319,"日本製 モックネック Ｔシャツ ハイネック レディース＼在庫限り！／ 半袖 綿100% 接触冷感トップス 春夏 オフィス きれいめ ゴルフ 体型カバー UVカット 紫外線対策 コットン100％ カットソー 涼しい 母の日 プレゼント ギフト おしゃれ 大人 30代 40代 50代 60代",1000000143,"5805",0,0,0,76,68,0.00%,0,0,0,0,0,0.00%,76,0,4.24,25,24,42,9,67.11%,2,784,54
11,"レディースファッション > トップス > タンクトップ","",10000368,"日本製 ハイネック ノースリーブ タンクトップ 日本製 綿100％ コットン 接触冷感 UVカット 首元カバー シワ隠し シアー メッシュ 切り替え インナー レディース 10代 20代 30代 40代 50代 60代 春夏秋 きれいめ ボトルネック 重ね着 涼しい 蒸れない 透け感 ネックカバー",1000000181,"6329-8475",3980,1,1,51,48,1.96%,3980,1,0,1,0,0.00%,50,0,5.00,1,50,25,13,74.51%,3,104,47
12,"レディースファッション > トップス > Tシャツ・カットソー","",10000355,"日本製 モックネック ハイネック 長袖 Tシャツ 綿100％ コットン レディース 接触冷感 UVカット 紫外線対策 敏感肌 首元カバー 体型カバー きれいめ 上品 オフィス 10代 20代 30代 40代 50代 60代 春 夏 秋 トップス インナー カットソー 無地 重ね着 母の日 ギフト",1000000174,"6801",11940,2,3,39,34,5.13%,5970,2,2,0,0,0.00%,35,0,5.00,5,40,24,6,76.92%,3,75,51
13,"レディースファッション > トップス > Tシャツ・カットソー","",10000357,"日本製 Tシャツ レディース 長袖 綿100% モックネック ハイネック トップス コットン100％ 接触冷感 UVカット 紫外線対策 体型カバー きれいめ オフィス 敏感肌 カットソー ボトルネック 30代 40代 50代 60代 大きいサイズ 無地 春 夏 秋 首元カバー ロンT 母の日 プレゼント",1000000176,"6807",3980,1,1,34,33,2.94%,3980,1,1,0,0,0.00%,33,0,5.00,4,55,11,6,50.00%,4,70,56
14,"レディースファッション > トップス > タンクトップ","",10000328,"日本製 Ａライン タンクトップ レディース 綿100％ ノースリーブ レディース インナー 夏 aライン 薄手 接触冷感 春夏 体型カバー おしゃれ 吸汗速乾 春夏 初秋 秋 フレア おしゃれ きれいめ コットン100 襟ぐり チラ見え防止",1000000152,"825961",0,0,0,27,24,0.00%,0,0,0,0,0,0.00%,27,0,5.00,2,56,17,6,85.19%,3,88,5
15,"レディースファッション > トップス > Tシャツ・カットソー","",10000329,"日本製 ハイネック tシャツ レディース 長袖 綿100％ 夏 カットソー 【 トップスとして使える 】 きれいめ 上品 体型カバー 細見え Aライン コットン100% 秋冬 春夏 日焼け防止 UVカット 無地 おしゃれ 大きいサイズ ロンT インナー 30代 40代 50代 60代 母の日 ギフト",1000000153,"825963",3980,1,1,27,23,3.70%,3980,1,1,0,0,0.00%,26,0,4.67,6,109,15,6,77.78%,4,73,39
16,"レディースファッション > トップス > Tシャツ・カットソー","",10000297,"日本製 接触冷感Cando 短めハイネック 綿100％ 長袖 レディース 晩夏 初秋 重ね着用 インナー カットソー おしゃれ おすすめ 薄手 コーデ ゴルフ スポーツ 冷感 tシャツ コットン uv 日焼け止め 白 黒 タートル シアートップス  メッシュ 春夏 作業 仕事 涼",1000000125,"6601",0,0,0,25,20,0.00%,0,0,0,0,0,0.00%,25,0,4.26,19,69,6,6,48.00%,2,347,2
17,"レディースファッション > チュニック","",10000372,"日本製 ハイネック チュニック 半袖 カットソー 5分袖 ちび ハイネック 綿100％ 半袖 接触冷感 クールローレル tシャツ レディース 五分袖 コットン 首元カバー お尻が隠れる 後ろ長め きれいめ 上品 UV 日焼け対策 吸汗速乾 無地 20代 30代 40代 50代 春 夏 秋 母の日",1000000185,"9525",9960,1,2,23,21,4.35%,9960,1,0,1,0,0.00%,22,0,5.00,2,29,3,6,39.13%,2,27,17
18,"レディースファッション > トップス > ベスト・ジレ","",10000264,"ジレ レディース ロングベスト ロング 前開き 夏 春夏 シワになりにくい きれいめ 大人 体型カバー Iライン ロングジレ 重ね着 レイヤード 軽い ミセス カジュアル 通勤 オフィス お出かけ 母の日 ギフト プレゼント ブラック ネイビー 黒 紺 着痩せ 40代 50代 60代",1000000111,"5290-3826",6980,1,1,21,19,4.76%,6980,1,1,0,0,0.00%,20,0,4.73,15,50,16,2,85.71%,1,213,40
