期間,売上円,注文件数,販売個数,1注文あたり売上円,1注文あたり個数,備考
通算実績,4686860,815,1203,5751,1.48,2026-08-29時点で共有された通算値
2026-06,1804285,316,455,5710,1.44,
2026-07,1968426,342,515,5756,1.51,
2026-08,914149,157,233,5823,1.48,月途中
